state_name,district_name,season,crop,rainfall,temp
Andhra Pradesh,ANANTAPUR,january,sugarcane,,
Andhra Pradesh,ANANTAPUR,february,sugarcane,,
Andhra Pradesh,ANANTAPUR,march,sugarcane,,
Andhra Pradesh,ANANTAPUR,april,chilli,,
Andhra Pradesh,ANANTAPUR,may,tomato,,
Andhra Pradesh,ANANTAPUR,june,maize,,
Andhra Pradesh,ANANTAPUR,july,maize,,
Andhra Pradesh,ANANTAPUR,august,broccoil,,
Andhra Pradesh,ANANTAPUR,september,peas,,
Andhra Pradesh,ANANTAPUR,october,peas,,
Andhra Pradesh,ANANTAPUR,november,peas,,
Andhra Pradesh,ANANTAPUR,december,bottle gourd,,
Andhra Pradesh,ANANTAPUR,january,tomato,,
Andhra Pradesh,ANANTAPUR,february,chilli,,
Andhra Pradesh,ANANTAPUR,march,chilli,,
Andhra Pradesh,ANANTAPUR,april,tomato,,
Andhra Pradesh,ANANTAPUR,may,tomato,,
Andhra Pradesh,ANANTAPUR,june,tomato,,
Andhra Pradesh,ANANTAPUR,july,groundnut,,
Andhra Pradesh,ANANTAPUR,august,carrot,,
Andhra Pradesh,ANANTAPUR,september,spinach,,
Andhra Pradesh,ANANTAPUR,october,spinach,,
Andhra Pradesh,ANANTAPUR,november,spinach,,
Andhra Pradesh,ANANTAPUR,december,potato,,
Andhra Pradesh,ANANTAPUR,february,pomegranet,,
Andhra Pradesh,ANANTAPUR,march,pomegranet,,
Andhra Pradesh,ANANTAPUR,march,tomato,,
Andhra Pradesh,ANANTAPUR,may,pepper,,
Andhra Pradesh,ANANTAPUR,june,pepper,,
Andhra Pradesh,ANANTAPUR,june,rice,,
Andhra Pradesh,ANANTAPUR,july,rice,,
Andhra Pradesh,ANANTAPUR,november,bottle gourd,,
Andhra Pradesh,ANANTAPUR,october,potato,,
Andhra Pradesh,ANANTAPUR,november,potato,,
Andhra Pradesh,ANANTAPUR,december,okra,,
Andhra Pradesh,CHITTOOR,january,sugarcane,,
Andhra Pradesh,CHITTOOR,february,sugarcane,,
Andhra Pradesh,CHITTOOR,march,sugarcane,,
Andhra Pradesh,CHITTOOR,april,chilli,,
Andhra Pradesh,CHITTOOR,may,tomato,,
Andhra Pradesh,CHITTOOR,june,maize,,
