state_name,district_name,season,crop
Andhra Pradesh,ANANTAPUR,january,rice
Andhra Pradesh,ANANTAPUR,february,wheat 
Andhra Pradesh,ANANTAPUR,march,bajra
Andhra Pradesh,ANANTAPUR,april,rice
Andhra Pradesh,ANANTAPUR,may,bottlegourd
Andhra Pradesh,ANANTAPUR,june,okra
Andhra Pradesh,ANANTAPUR,july,pomegrenate
Andhra Pradesh,ANANTAPUR,august,groundnut
Andhra Pradesh,ANANTAPUR,september,apple
Andhra Pradesh,ANANTAPUR,october,mango
Andhra Pradesh,ANANTAPUR,november,potato
Andhra Pradesh,ANANTAPUR,december,tomato
Andhra Pradesh,ANANTAPUR,january,wheat 
Andhra Pradesh,ANANTAPUR,february,bajra
Andhra Pradesh,ANANTAPUR,march,rice
Andhra Pradesh,ANANTAPUR,april,bottlegourd
Andhra Pradesh,ANANTAPUR,may,okra
Andhra Pradesh,ANANTAPUR,june,wheat 
Andhra Pradesh,ANANTAPUR,july,bajra
Andhra Pradesh,ANANTAPUR,august,rice
Andhra Pradesh,ANANTAPUR,september,bottlegourd
Andhra Pradesh,ANANTAPUR,october,okra
Andhra Pradesh,ANANTAPUR,november,pomegrenate
Andhra Pradesh,ANANTAPUR,december,groundnut
Andhra Pradesh,ANANTAPUR,february,apple
Andhra Pradesh,ANANTAPUR,march,mango
Andhra Pradesh,ANANTAPUR,march,potato
Andhra Pradesh,ANANTAPUR,may,tomato
Andhra Pradesh,ANANTAPUR,june,wheat 
Andhra Pradesh,ANANTAPUR,june,bajra
Andhra Pradesh,ANANTAPUR,july,rice
Andhra Pradesh,ANANTAPUR,november,bottlegourd
Andhra Pradesh,ANANTAPUR,october,okra
Andhra Pradesh,ANANTAPUR,november,wheat 
Andhra Pradesh,ANANTAPUR,december,bajra
Andhra Pradesh,CHITTOOR,january,rice
Andhra Pradesh,CHITTOOR,february,bottlegourd
Andhra Pradesh,CHITTOOR,march,okra
Andhra Pradesh,CHITTOOR,april,pomegrenate
Andhra Pradesh,CHITTOOR,may,groundnut
Andhra Pradesh,CHITTOOR,june,apple
Andhra Pradesh,CHITTOOR,july,mango
Andhra Pradesh,CHITTOOR,august,potato
Andhra Pradesh,CHITTOOR,september,tomato
Andhra Pradesh,CHITTOOR,october,wheat 
Andhra Pradesh,CHITTOOR,november,bajra
Andhra Pradesh,CHITTOOR,december,rice
Andhra Pradesh,CHITTOOR,january,bottlegourd
Andhra Pradesh,CHITTOOR,february,okra
Andhra Pradesh,CHITTOOR,march,wheat 
Andhra Pradesh,CHITTOOR,april,bajra
Andhra Pradesh,CHITTOOR,may,rice
Andhra Pradesh,CHITTOOR,june,bottlegourd
Andhra Pradesh,CHITTOOR,july,okra
Andhra Pradesh,CHITTOOR,august,pomegrenate
Andhra Pradesh,CHITTOOR,september,groundnut
Andhra Pradesh,CHITTOOR,october,apple
Andhra Pradesh,CHITTOOR,november,mango
Andhra Pradesh,CHITTOOR,december,potato
Andhra Pradesh,CHITTOOR,february,tomato
Andhra Pradesh,CHITTOOR,march,wheat 
Andhra Pradesh,CHITTOOR,march,bajra
Andhra Pradesh,CHITTOOR,may,rice
Andhra Pradesh,CHITTOOR,june,bottlegourd
Andhra Pradesh,CHITTOOR,june,okra
Andhra Pradesh,CHITTOOR,july,wheat 
Andhra Pradesh,CHITTOOR,november,bajra
Andhra Pradesh,CHITTOOR,october,rice
Andhra Pradesh,CHITTOOR,november,bottlegourd
Andhra Pradesh,CHITTOOR,december,okra
Andhra Pradesh,EAST GODAVARI,january,pomegrenate
Andhra Pradesh,EAST GODAVARI,february,groundnut
Andhra Pradesh,EAST GODAVARI,march,apple
Andhra Pradesh,EAST GODAVARI,april,mango
Andhra Pradesh,EAST GODAVARI,may,potato
Andhra Pradesh,EAST GODAVARI,june,tomato
Andhra Pradesh,EAST GODAVARI,july,wheat 
Andhra Pradesh,EAST GODAVARI,august,bajra
Andhra Pradesh,EAST GODAVARI,september,rice
Andhra Pradesh,EAST GODAVARI,october,bottlegourd
Andhra Pradesh,EAST GODAVARI,november,okra
Andhra Pradesh,EAST GODAVARI,december,wheat 
Andhra Pradesh,EAST GODAVARI,january,bajra
Andhra Pradesh,EAST GODAVARI,february,rice
Andhra Pradesh,EAST GODAVARI,march,bottlegourd
Andhra Pradesh,EAST GODAVARI,april,okra
Andhra Pradesh,EAST GODAVARI,may,pomegrenate
Andhra Pradesh,EAST GODAVARI,june,groundnut
Andhra Pradesh,EAST GODAVARI,july,apple
Andhra Pradesh,EAST GODAVARI,august,mango
Andhra Pradesh,EAST GODAVARI,september,potato
Andhra Pradesh,EAST GODAVARI,october,tomato
Andhra Pradesh,EAST GODAVARI,november,wheat 
Andhra Pradesh,EAST GODAVARI,december,bajra
Andhra Pradesh,EAST GODAVARI,february,rice
Andhra Pradesh,EAST GODAVARI,march,bottlegourd
Andhra Pradesh,EAST GODAVARI,march,okra
Andhra Pradesh,EAST GODAVARI,may,wheat 
Andhra Pradesh,EAST GODAVARI,june,bajra
Andhra Pradesh,EAST GODAVARI,june,rice
Andhra Pradesh,EAST GODAVARI,july,bottlegourd
Andhra Pradesh,EAST GODAVARI,november,okra
Andhra Pradesh,EAST GODAVARI,october,pomegrenate
Andhra Pradesh,EAST GODAVARI,november,groundnut
Andhra Pradesh,EAST GODAVARI,december,apple
Andhra Pradesh,GUNTUR,january,mango
Andhra Pradesh,GUNTUR,february,potato
Andhra Pradesh,GUNTUR,march,tomato
Andhra Pradesh,GUNTUR,april,wheat 
Andhra Pradesh,GUNTUR,may,bajra
Andhra Pradesh,GUNTUR,june,rice
Andhra Pradesh,GUNTUR,july,bottlegourd
Andhra Pradesh,GUNTUR,august,okra
Andhra Pradesh,GUNTUR,september,wheat 
Andhra Pradesh,GUNTUR,october,bajra
Andhra Pradesh,GUNTUR,november,rice
Andhra Pradesh,GUNTUR,december,bottlegourd
Andhra Pradesh,GUNTUR,january,okra
Andhra Pradesh,GUNTUR,february,pomegrenate
Andhra Pradesh,GUNTUR,march,groundnut
Andhra Pradesh,GUNTUR,april,apple
Andhra Pradesh,GUNTUR,may,mango
Andhra Pradesh,GUNTUR,june,potato
Andhra Pradesh,GUNTUR,july,tomato
Andhra Pradesh,GUNTUR,august,wheat 
Andhra Pradesh,GUNTUR,september,bajra
Andhra Pradesh,GUNTUR,october,rice
Andhra Pradesh,GUNTUR,november,bottlegourd
Andhra Pradesh,GUNTUR,december,okra
Andhra Pradesh,GUNTUR,february,wheat 
Andhra Pradesh,GUNTUR,march,bajra
Andhra Pradesh,GUNTUR,march,rice
Andhra Pradesh,GUNTUR,may,bottlegourd
Andhra Pradesh,GUNTUR,june,okra
Andhra Pradesh,GUNTUR,june,pomegrenate
Andhra Pradesh,GUNTUR,july,groundnut
Andhra Pradesh,GUNTUR,november,apple
Andhra Pradesh,GUNTUR,october,mango
Andhra Pradesh,GUNTUR,november,potato
Andhra Pradesh,GUNTUR,december,tomato
Andhra Pradesh,VISAKHAPATANAM,january,wheat 
Andhra Pradesh,VISAKHAPATANAM,february,bajra
Andhra Pradesh,VISAKHAPATANAM,march,rice
Andhra Pradesh,VISAKHAPATANAM,april,bottlegourd
Andhra Pradesh,VISAKHAPATANAM,may,okra
Andhra Pradesh,VISAKHAPATANAM,june,wheat 
Andhra Pradesh,VISAKHAPATANAM,july,bajra
Andhra Pradesh,VISAKHAPATANAM,august,rice
Andhra Pradesh,VISAKHAPATANAM,september,bottlegourd
Andhra Pradesh,VISAKHAPATANAM,october,okra
Andhra Pradesh,VISAKHAPATANAM,november,pomegrenate
Andhra Pradesh,VISAKHAPATANAM,december,groundnut
Andhra Pradesh,VISAKHAPATANAM,january,apple
Andhra Pradesh,VISAKHAPATANAM,february,mango
Andhra Pradesh,VISAKHAPATANAM,march,potato
Andhra Pradesh,VISAKHAPATANAM,april,tomato
Andhra Pradesh,VISAKHAPATANAM,may,wheat 
Andhra Pradesh,VISAKHAPATANAM,june,bajra
Andhra Pradesh,VISAKHAPATANAM,july,rice
Andhra Pradesh,VISAKHAPATANAM,august,bottlegourd
Andhra Pradesh,VISAKHAPATANAM,september,okra
Andhra Pradesh,VISAKHAPATANAM,october,wheat 
Andhra Pradesh,VISAKHAPATANAM,november,bajra
Andhra Pradesh,VISAKHAPATANAM,december,rice
Andhra Pradesh,VISAKHAPATANAM,february,bottlegourd
Andhra Pradesh,VISAKHAPATANAM,march,okra
Andhra Pradesh,VISAKHAPATANAM,march,pomegrenate
Andhra Pradesh,VISAKHAPATANAM,may,groundnut
Andhra Pradesh,VISAKHAPATANAM,june,apple
Andhra Pradesh,VISAKHAPATANAM,june,mango
Andhra Pradesh,VISAKHAPATANAM,july,potato
Andhra Pradesh,VISAKHAPATANAM,november,tomato
Andhra Pradesh,VISAKHAPATANAM,october,wheat 
Andhra Pradesh,VISAKHAPATANAM,november,bajra
Andhra Pradesh,VISAKHAPATANAM,december,rice
Andhra Pradesh,VIZIANAGARAM,january,bottlegourd
Andhra Pradesh,VIZIANAGARAM,february,okra
Andhra Pradesh,VIZIANAGARAM,march,wheat 
Andhra Pradesh,VIZIANAGARAM,april,bajra
Andhra Pradesh,VIZIANAGARAM,may,rice
Andhra Pradesh,VIZIANAGARAM,june,bottlegourd
Andhra Pradesh,VIZIANAGARAM,july,okra
Andhra Pradesh,VIZIANAGARAM,august,pomegrenate
Andhra Pradesh,VIZIANAGARAM,september,groundnut
Andhra Pradesh,VIZIANAGARAM,october,apple
Andhra Pradesh,VIZIANAGARAM,november,mango
Andhra Pradesh,VIZIANAGARAM,december,potato
Andhra Pradesh,VIZIANAGARAM,january,tomato
Andhra Pradesh,VIZIANAGARAM,february,wheat 
Andhra Pradesh,VIZIANAGARAM,march,bajra
Andhra Pradesh,VIZIANAGARAM,april,rice
Andhra Pradesh,VIZIANAGARAM,may,bottlegourd
Andhra Pradesh,VIZIANAGARAM,june,okra
Andhra Pradesh,VIZIANAGARAM,july,wheat 
Andhra Pradesh,VIZIANAGARAM,august,bajra
Andhra Pradesh,VIZIANAGARAM,september,rice
Andhra Pradesh,VIZIANAGARAM,october,bottlegourd
Andhra Pradesh,VIZIANAGARAM,november,okra
Andhra Pradesh,VIZIANAGARAM,december,pomegrenate
Andhra Pradesh,VIZIANAGARAM,february,groundnut
Andhra Pradesh,VIZIANAGARAM,march,apple
Andhra Pradesh,VIZIANAGARAM,march,mango
Andhra Pradesh,VIZIANAGARAM,may,potato
Andhra Pradesh,VIZIANAGARAM,june,tomato
Andhra Pradesh,VIZIANAGARAM,june,wheat 
Andhra Pradesh,VIZIANAGARAM,july,bajra
Andhra Pradesh,VIZIANAGARAM,november,rice
Andhra Pradesh,VIZIANAGARAM,october,bottlegourd
Andhra Pradesh,VIZIANAGARAM,november,okra
Andhra Pradesh,VIZIANAGARAM,december,wheat 
Andhra Pradesh,WEST GODAVARI,january,bajra
Andhra Pradesh,WEST GODAVARI,february,rice
Andhra Pradesh,WEST GODAVARI,march,bottlegourd
Andhra Pradesh,WEST GODAVARI,april,okra
Andhra Pradesh,WEST GODAVARI,may,pomegrenate
Andhra Pradesh,WEST GODAVARI,june,groundnut
Andhra Pradesh,WEST GODAVARI,july,apple
Andhra Pradesh,WEST GODAVARI,august,mango
Andhra Pradesh,WEST GODAVARI,september,potato
Andhra Pradesh,WEST GODAVARI,october,tomato
Andhra Pradesh,WEST GODAVARI,november,wheat 
Andhra Pradesh,WEST GODAVARI,december,bajra
Andhra Pradesh,WEST GODAVARI,january,rice
Andhra Pradesh,WEST GODAVARI,february,bottlegourd
Andhra Pradesh,WEST GODAVARI,march,okra
Andhra Pradesh,WEST GODAVARI,april,wheat 
Andhra Pradesh,WEST GODAVARI,may,bajra
Andhra Pradesh,WEST GODAVARI,june,rice
Andhra Pradesh,WEST GODAVARI,july,bottlegourd
Andhra Pradesh,WEST GODAVARI,august,okra
Andhra Pradesh,WEST GODAVARI,september,pomegrenate
Andhra Pradesh,WEST GODAVARI,october,groundnut
Andhra Pradesh,WEST GODAVARI,november,apple
Andhra Pradesh,WEST GODAVARI,december,mango
Andhra Pradesh,WEST GODAVARI,february,potato
Andhra Pradesh,WEST GODAVARI,march,tomato
Andhra Pradesh,WEST GODAVARI,march,wheat 
Andhra Pradesh,WEST GODAVARI,may,bajra
